Year,Destination,Jan - No. of Arrivals,Feb - No. of Arrivals,Mar - No. of Arrivals,Apr - No. of Arrivals,May - No. of Arrivals,Jun - No. of Arrivals,Jul - No. of Arrivals,Aug - No. of Arrivals,Sep - No. of Arrivals,Oct - No. of Arrivals,Nov - No. of Arrivals,Dec - No. of Arrivals,Jan - Percentage Change Year on Year,Feb - Percentage Change Year on Year,Mar - Percentage Change Year on Year,Apr - Percentage Change Year on Year,May - Percentage Change Year on Year,Jun - Percentage Change Year on Year,Jul - Percentage Change Year on Year,Aug - Percentage Change Year on Year,Sep - Percentage Change Year on Year,Oct - Percentage Change Year on Year,Nov - Percentage Change Year on Year,Dec - Percentage Change Year on Year
2000,Malaysia,731509,786040,737678,916382,894350,960782,811876,764500,778587,990658,806648,1042572,0,0,0,0,0,0,0,0,0,0,0,0
2001,Malaysia,1052854,1090219,1492235,1358776,1038210,1308788,1125504,1149987,927206,596202,759321,975771,43.92905624,38.69764897,102.2881257,48.27615558,16.08542517,36.22111988,38.6300371,50.423414,19.08829713,-39.81757579,-5.867119239,-6.407327264
2002,Malaysia,834519,986408,1272810,1106053,1153033,1297536,1135691,1163724,1029120,1015946,1061229,1253941,-20.73744318,-9.522031812,-14.70445339,-18.59931291,11.05970854,-0.859726709,0.905105624,1.194535243,10.99151645,70.40298422,39.76025949,28.50771339
2003,Malaysia,1070428,985343,819376,456374,541267,719047,753029,826234,943526,994858,1135493,1328940,28.26885907,-0.107967494,-35.62464154,-58.7385053,-53.05711111,-44.58365702,-33.69420027,-29.00086275,-8.317203047,-2.075700874,6.997924105,5.981062905
2004,Malaysia,1408378,1295913,1274230,1266824,1262717,1381355,1227052,1268237,1326549,1359498,1329208,1303445,31.57148356,31.5189736,55.51224346,177.5846126,133.2891161,92.1091389,62.9488373,53.49610401,40.59485377,36.65246699,17.05999068,-1.91844628
2005,Malaysia,1394032,1346550,1419275,1317749,1351141,1339051,1317276,1393666,1335027,1367735,1432317,1417236,-1.018618581,3.907438231,11.38295284,4.019895424,7.00267756,-3.062500226,7.352907619,9.890028441,0.63910191,0.605885408,7.757175702,8.730019295
2006,Malaysia,1453803,1384479,1541056,1422576,1393656,1368651,1450319,1503748,1384890,1540070,1564286,1539329,4.287634717,2.816753927,8.580507654,7.955005088,3.1465998,2.210520734,10.09985758,7.898736139,3.734980641,12.60002851,9.213672672,8.614867249
2007,Malaysia,1721786,1652004,1906304,1764868,1841870,1803594,1713951,1642899,1601016,1673922,1764586,1886022,18.43324027,19.32315333,23.70115038,24.06142097,32.16102108,31.77895607,18.17751819,9.253611642,15.60600481,8.691293253,12.80456387,22.52234578
2008,Malaysia,1780134,1742468,1819689,1760326,1899148,1961355,1928082,1839235,1599418,1818304,1845645,2058684,3.388806739,5.476015797,-4.543608994,-0.257356358,3.109774305,8.747035087,12.49341434,11.95058248,-0.09981162,8.62537203,4.593655396,9.154824281
2009,Malaysia,1871099,1613309,1975776,1883873,1894059,2108328,2003724,2030337,1997535,2078485,2048595,2141071,5.110008572,-7.41241733,8.577674537,7.018415907,-0.267962265,7.493442034,3.923173392,10.39029814,24.89136673,14.30899344,10.99615582,4.001925502
2010,Malaysia,1896918,1832300,2022590,1877934,1992277,2246084,2214092,2099485,2053406,2137735,2081354,2123021,1.379884228,13.57402705,2.36939815,-0.315254797,5.18558292,6.533897951,10.49885114,3.405740032,2.796997299,2.850633995,1.599095966,-0.843036032
2011,Malaysia,1918751,1669288,1952343,1891350,1892095,2039035,2406100,2166937,2094104,2189014,2225534,2269773,1.150972261,-8.896578071,-3.473121097,0.714402104,-5.028517621,-9.21822158,8.6720877,3.212787898,1.981975313,2.398753821,6.927221415,6.912413961
2012,Malaysia,1817061,1773471,1972006,1924129,1951925,2193886,2306675,2240687,1973803,2205979,2236473,2436613,-5.299801798,6.241163897,1.007148846,1.733100695,3.162103383,7.594327709,-4.132205644,3.403421512,-5.744748112,0.775006464,0.491522484,7.350514787
2013,Malaysia,2070394,2002709,2376295,1984982,2044039,2074312,2129393,1980960,2093392,2106569,2045850,2806565,13.94190949,12.92595143,20.50140821,3.162625791,4.719136237,-5.450328777,-7.685608072,-11.59140032,6.05881134,-4.506389227,-8.523375869,15.18304302
2014,Malaysia,2447397,2118540,2525496,2175009,2266417,2342187,2229920,2273271,2233545,2247666,2130022,2447845,18.2092394,5.783715957,6.278723812,9.573235425,10.87934232,12.91392037,4.720922817,14.75602738,6.695019375,6.697952927,4.114280128,-12.78146061
2015,Malaysia,2291603,1949016,2242077,2071922,2118890,1893792,2216049,2182536,2084339,2082866,2004694,2583467,-6.365702009,-8.001925855,-11.22231039,-4.739612572,-6.509261094,-19.14428694,-0.622040253,-3.991385101,-6.680232545,-7.332050225,-5.883882889,5.540465185
2016,Malaysia,2376166,2091098,2198716,2101280,2144119,2121396,2296615,2282173,2118367,2326487,2054165,2646810,3.690124337,7.289935024,-1.933965693,1.416945232,1.190670587,12.01842652,3.63556943,4.565193885,1.632555933,11.69643174,2.467758172,2.451860233
2017,Malaysia,2350270,2043215,2238184,2145734,2039016,2134647,2263478,2129013,2092378,2068995,2007965,2435564,-1.089822849,-2.289849639,1.795047655,2.115567654,-4.901920089,0.624635853,-1.442862648,-6.711147665,-1.226841241,-11.06784607,-2.249089046,-7.981154673
2018,Malaysia,2276750,2050613,2192855,1957248,1976981,2275921,2305324,2253534,2096889,2103975,1989842,2352422,-3.128151234,0.362076433,-2.025257977,-8.784220225,-3.042398883,6.618143421,1.848747812,5.848766541,0.21559202,1.690675908,-0.902555572,-3.413665172
2019,Malaysia,2195684,2165933,2334613,2159517,2098267,2400561,2415097,2342438,1997093,2031198,1969315,1991068,-3.560601735,5.623684235,6.464540519,10.33435722,6.134909744,5.476464253,4.761716791,3.945092464,-4.759240952,-3.45902399,-1.031589443,-15.36093439
2020,Malaysia,2164459,1397912,671084,7546,5411,6585,18660,11631,16131,11315,11420,10568,-1.422108099,-35.45913008,-71.25502171,-99.65057001,-99.74212052,-99.72568912,-99.22736023,-99.50346605,-99.19227597,-99.44293959,-99.42010293,-99.46922958
2021,Malaysia,8012,7599,9645,9742,9156,6459,6203,8062,8431,10684,14722,36013,-99.62983822,-99.45640355,-98.56277307,29.10151073,69.21086675,-1.913439636,-66.75777063,-30.68523773,-47.73417643,-5.57666814,28.91418564,240.7740348
2022,Malaysia,29797,26760,41496,392059,670474,971574,1076218,1102625,1245278,1344091,1330700,1839892,271.904643,252.1515989,330.2332815,3924.420037,7222.782875,14942.17371,17249.9597,13576.81717,14670.22892,12480.40996,8938.853417,5008.966207
